City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Mungwi,-10.1732,31.3694,68.94,90,100,8.01,ZM,2021-01-15 13:44:12
68,Ribas Do Rio Pardo,-20.4431,-53.7592,82.45,59,96,5.84,BR,2021-01-15 13:44:12
69,Tuktoyaktuk,69.4541,-133.0374,-19.52,88,83,10.89,CA,2021-01-15 13:44:12
70,Tuatapere,-46.1333,167.6833,53.71,92,4,2.21,NZ,2021-01-15 13:44:12
71,Faanui,-16.4833,-151.75,80.29,77,95,13.22,PF,2021-01-15 13:44:12
72,Bathsheba,13.2167,-59.5167,78.8,83,20,12.66,BB,2021-01-15 13:44:12
73,Nabire,-3.3667,135.4833,78.35,86,100,2.84,ID,2021-01-15 13:44:12
74,Sfantu Gheorghe,45.8667,25.7833,30.99,83,97,1.01,RO,2021-01-15 13:44:12
75,Visnes,59.3556,5.2242,30.2,80,0,3.44,NO,2021-01-15 13:44:12
76,Kavieng,-2.5744,150.7967,82.2,80,100,10.98,PG,2021-01-15 13:44:12
77,Kosonsoy,41.2561,71.5508,39.2,65,0,4.61,UZ,2021-01-15 13:44:12
78,Kavaratti,10.5669,72.642,82.33,76,100,8.99,IN,2021-01-15 13:44:12
79,Geraldton,-28.7667,114.6,91.4,25,27,18.41,AU,2021-01-15 13:44:12
80,Goundam,16.4145,-3.6708,88.54,11,38,14.03,ML,2021-01-15 13:44:12
81,Kamenka,51.3223,42.7678,19.99,93,100,8.43,RU,2021-01-15 13:44:13
82,Pedernales,18.0384,-71.744,79.92,53,100,1.63,DO,2021-01-15 13:44:13
83,Camacha,33.0833,-16.3333,60.8,59,40,5.75,PT,2021-01-15 13:44:13
84,Kahului,20.8947,-156.47,68.0,82,40,3.44,US,2021-01-15 13:44:13
85,Hobart,-42.8794,147.3294,54.0,71,90,9.22,AU,2021-01-15 13:44:13
86,Belmonte,-15.8631,-38.8828,73.4,88,90,13.8,BR,2021-01-15 13:44:13
87,Petropavlovsk-Kamchatskiy,53.0452,158.6483,1.4,71,72,6.71,RU,2021-01-15 13:44:13
88,Dalbandin,28.8947,64.4101,57.02,26,0,6.6,PK,2021-01-15 13:40:53
89,Cap-Aux-Meules,47.3821,-61.8597,30.2,86,40,9.22,CA,2021-01-15 13:41:01
90,Victoria,22.2855,114.1577,63.0,78,18,5.41,HK,2021-01-15 13:42:49
91,Jamestown,42.097,-79.2353,37.99,75,1,10.36,US,2021-01-15 13:40:32
92,Hamina,60.5697,27.1979,-4.0,84,0,6.91,FI,2021-01-15 13:44:13
93,Yellowknife,62.456,-114.3525,1.99,85,90,12.66,CA,2021-01-15 13:44:13
94,Alta Floresta,-9.8756,-56.0861,80.6,83,75,5.75,BR,2021-01-15 13:44:14
95,Namatanai,-3.6667,152.4333,79.63,81,96,3.36,PG,2021-01-15 13:44:14
96,Fort Nelson,58.8053,-122.7002,24.8,80,75,9.22,CA,2021-01-15 13:44:14
97,Cockburn Town,21.4612,-71.1419,78.1,74,100,6.17,TC,2021-01-15 13:41:33
98,Carthage,36.8611,10.3316,60.8,48,40,19.57,TN,2021-01-15 13:44:14
99,Greenville,35.6127,-77.3663,39.2,93,1,7.9,US,2021-01-15 13:42:43
100,Houma,29.5958,-90.7195,48.99,66,1,6.35,US,2021-01-15 13:44:14
101,Altay,47.8667,88.1167,-3.91,60,0,2.3,CN,2021-01-15 13:44:14
102,Mitu,1.1983,-70.1733,79.79,78,58,3.91,CO,2021-01-15 13:44:14
103,Nueva Italia De Ruiz,19.0167,-102.1,50.0,76,75,1.23,MX,2021-01-15 13:44:14
104,Airai,-8.9266,125.4092,63.18,100,100,1.12,TL,2021-01-15 13:44:14
105,Blacksburg,37.2296,-80.4139,33.01,93,90,5.53,US,2021-01-15 13:44:14
106,Machali,-34.1833,-70.6667,64.4,48,0,6.76,CL,2021-01-15 13:44:14
107,Avera,33.194,-82.5271,44.01,90,90,4.61,US,2021-01-15 13:44:14
108,Hualmay,-11.0964,-77.6139,73.13,75,82,7.87,PE,2021-01-15 13:44:14
109,Ponta Do Sol,32.6667,-17.1,60.01,55,0,3.0,PT,2021-01-15 13:44:14
110,Saskylakh,71.9167,114.0833,-32.03,82,100,8.95,RU,2021-01-15 13:44:14
111,Nurota,40.5614,65.6886,53.6,43,0,11.5,UZ,2021-01-15 13:44:14
112,Swellendam,-34.0226,20.4417,78.8,50,35,20.71,ZA,2021-01-15 13:44:15
113,Lebu,-37.6167,-73.65,60.28,66,46,7.25,CL,2021-01-15 13:44:15
114,Severo-Kurilsk,50.6789,156.125,23.88,93,100,7.49,RU,2021-01-15 13:44:15
115,Moose Factory,51.2585,-80.6094,24.8,93,90,4.61,CA,2021-01-15 13:44:15
116,Ushuaia,-54.8,-68.3,53.6,66,20,4.61,AR,2021-01-15 13:41:01
117,Shikarpur,27.9571,68.6379,65.05,21,0,4.09,PK,2021-01-15 13:44:03
118,Vao,-22.6667,167.4833,77.79,89,100,9.19,NC,2021-01-15 13:44:15
119,Langfang,39.5097,116.6947,30.0,24,0,1.99,CN,2021-01-15 13:44:15
120,Clyde River,70.4692,-68.5914,-4.0,84,90,1.54,CA,2021-01-15 13:44:15
121,Chokurdakh,70.6333,147.9167,-3.68,91,100,11.05,RU,2021-01-15 13:44:15
122,Balikpapan,-1.2675,116.8289,76.93,85,100,6.73,ID,2021-01-15 13:44:15
123,Bay City,43.5945,-83.8889,37.0,87,90,12.66,US,2021-01-15 13:44:15
124,Mbuji-Mayi,-6.15,23.6,68.97,93,100,3.11,CD,2021-01-15 13:44:15
125,Gushikawa,26.3544,127.8686,64.4,63,20,6.91,JP,2021-01-15 13:44:15
126,Zelenoborsk,61.4669,64.0333,-0.63,92,100,7.05,RU,2021-01-15 13:44:15
127,Tupik,54.4253,119.9327,-19.77,85,100,2.19,RU,2021-01-15 13:44:15
128,Sao Francisco Do Sul,-26.2433,-48.6381,66.99,82,81,15.01,BR,2021-01-15 13:44:15
129,Bystrzyca Klodzka,50.3018,16.6423,32.0,71,100,2.89,PL,2021-01-15 13:44:16
130,Hilo,19.7297,-155.09,66.2,77,1,5.75,US,2021-01-15 13:44:16
131,Albany,42.6001,-73.9662,30.0,100,40,3.51,US,2021-01-15 13:44:16
132,High Level,58.5169,-117.136,19.4,93,90,9.22,CA,2021-01-15 13:44:16
133,Hamilton,39.1834,-84.5333,37.0,80,75,9.22,US,2021-01-15 13:43:28
134,Margate,51.3813,1.3862,41.0,64,66,1.99,GB,2021-01-15 13:44:16
135,Alice Springs,-23.7,133.8833,82.4,24,24,12.66,AU,2021-01-15 13:42:03
136,Aklavik,68.2191,-135.0107,-2.2,78,98,10.36,CA,2021-01-15 13:44:16
137,Okhotsk,59.3833,143.3,-16.29,77,100,9.01,RU,2021-01-15 13:44:16
138,Shitanjing,39.2342,106.3439,17.02,75,90,17.02,CN,2021-01-15 13:44:16
139,Aflao,6.116,1.1914,89.6,66,20,12.66,TG,2021-01-15 13:44:16
140,Carnarvon,-24.8667,113.6333,80.6,78,0,23.02,AU,2021-01-15 13:44:16
141,Manggar,-2.8833,108.2667,79.57,73,100,3.27,ID,2021-01-15 13:44:16
142,Kudahuvadhoo,2.6708,72.8944,81.77,71,54,8.3,MV,2021-01-15 13:44:17
143,Kerema,-7.9631,145.7785,78.87,85,100,8.43,PG,2021-01-15 13:44:17
144,Dikson,73.5069,80.5464,-30.35,81,81,5.01,RU,2021-01-15 13:44:17
145,Aban,56.67,96.06,-2.31,91,100,12.68,RU,2021-01-15 13:44:17
146,Namibe,-15.1961,12.1522,86.0,42,0,17.27,AO,2021-01-15 13:44:17
147,Upernavik,72.7868,-56.1549,14.81,95,95,4.79,GL,2021-01-15 13:44:17
148,College,64.8569,-147.8028,21.2,73,75,6.91,US,2021-01-15 13:44:17
149,Gat,31.61,34.7642,60.01,100,65,8.52,IL,2021-01-15 13:42:01
150,Tyulgan,52.3405,56.166,14.32,95,66,13.87,RU,2021-01-15 13:44:17
151,Butaritari,3.0707,172.7902,80.56,80,100,19.33,KI,2021-01-15 13:44:17
152,Chenghai,23.4632,116.768,55.4,82,0,3.85,CN,2021-01-15 13:44:17
153,Lishui,28.4604,119.9103,51.26,57,0,2.13,CN,2021-01-15 13:44:17
154,Le Port,-20.9373,55.2919,87.8,58,0,16.11,RE,2021-01-15 13:40:13
155,Wajima,37.4,136.9,52.11,60,85,25.79,JP,2021-01-15 13:44:17
156,Manacor,39.5696,3.2096,55.99,62,20,13.8,ES,2021-01-15 13:44:17
157,Laguna,38.421,-121.4238,44.01,93,1,1.59,US,2021-01-15 13:44:17
158,Auki,-8.7676,160.7034,78.04,78,100,4.21,SB,2021-01-15 13:44:18
159,Bilibino,68.0546,166.4372,-23.04,84,99,0.51,RU,2021-01-15 13:44:18
160,Saldanha,-33.0117,17.9442,73.4,60,0,8.05,ZA,2021-01-15 13:44:18
161,Arraial Do Cabo,-22.9661,-42.0278,84.2,65,20,16.11,BR,2021-01-15 13:44:18
162,Kurilsk,45.2333,147.8833,18.97,88,99,6.42,RU,2021-01-15 13:44:18
163,Rawson,-43.3002,-65.1023,68.67,60,56,16.37,AR,2021-01-15 13:44:18
164,Kupino,54.3663,77.2981,-8.12,89,100,13.29,RU,2021-01-15 13:44:18
165,Sao Joao Da Barra,-21.6403,-41.0511,82.4,65,40,11.5,BR,2021-01-15 13:44:18
166,Georgetown,5.4112,100.3354,82.4,83,20,4.61,MY,2021-01-15 13:40:54
167,Lompoc,34.6391,-120.4579,55.4,76,0,10.36,US,2021-01-15 13:44:18
168,Ixtapa,20.7,-105.2,55.4,100,40,2.77,MX,2021-01-15 13:44:18
169,Naze,28.3667,129.4833,61.56,72,59,5.5,JP,2021-01-15 13:44:18
170,Jumla,29.2747,82.1838,45.55,51,99,3.87,NP,2021-01-15 13:44:18
171,Pacific Grove,36.6177,-121.9166,52.0,71,1,3.44,US,2021-01-15 13:43:58
172,Atuona,-9.8,-139.0333,76.8,78,6,13.73,PF,2021-01-15 13:44:18
173,Mount Gambier,-37.8333,140.7667,53.6,82,40,11.5,AU,2021-01-15 13:44:18
174,Yerbogachen,61.2767,108.0108,-35.19,81,100,7.11,RU,2021-01-15 13:44:19
175,Constitucion,-35.3333,-72.4167,66.79,62,0,15.46,CL,2021-01-15 13:44:19
176,Isabela,6.7085,121.9711,78.64,84,35,0.67,PH,2021-01-15 13:44:19
177,Sangar,63.9242,127.4739,-46.88,75,57,2.28,RU,2021-01-15 13:44:19
178,Birin,26.8865,88.0718,45.91,71,47,3.4,NP,2021-01-15 13:44:19
179,Norman Wells,65.282,-126.8329,3.2,85,90,8.05,CA,2021-01-15 13:44:19
180,Bowen,-20.0167,148.2333,71.6,94,40,6.91,AU,2021-01-15 13:44:19
181,Aquiraz,-3.9014,-38.3911,87.8,58,75,18.41,BR,2021-01-15 13:44:19
182,Khatanga,71.9667,102.5,-49.94,74,1,1.74,RU,2021-01-15 13:44:19
183,Mar Del Plata,-38.0023,-57.5575,73.99,73,90,20.71,AR,2021-01-15 13:43:59
184,Namestovo,49.4079,19.4803,19.99,94,100,5.01,SK,2021-01-15 13:44:19
185,Ancud,-41.8697,-73.8203,53.6,82,75,2.3,CL,2021-01-15 13:41:13
186,Padang,-0.9492,100.3543,79.56,71,76,5.03,ID,2021-01-15 13:44:19
187,Marzuq,14.4,46.4667,75.0,20,0,8.59,YE,2021-01-15 13:44:19
188,Haslett,42.747,-84.4011,35.01,100,90,4.61,US,2021-01-15 13:42:05
189,Tanete,-3.9443,119.7848,76.77,90,100,7.78,ID,2021-01-15 13:44:19
190,Mogadishu,2.0371,45.3438,80.26,71,0,21.16,SO,2021-01-15 13:44:05
191,Pangnirtung,66.1451,-65.7125,-11.2,70,20,2.3,CA,2021-01-15 13:44:20
192,Port Lincoln,-34.7333,135.8667,56.82,70,14,15.23,AU,2021-01-15 13:44:20
193,Mindelo,16.8901,-24.9804,75.2,57,75,33.38,CV,2021-01-15 13:44:20
194,Chebenki,51.9337,55.7077,21.2,68,0,15.66,RU,2021-01-15 13:44:20
195,Olafsvik,64.8945,-23.7142,38.48,77,100,10.96,IS,2021-01-15 13:44:20
196,Turayf,31.6725,38.6637,55.4,76,40,6.91,SA,2021-01-15 13:44:20
197,Tasiilaq,65.6145,-37.6368,32.0,100,90,3.62,GL,2021-01-15 13:44:20
198,Ribeira Grande,38.5167,-28.7,62.6,88,75,18.41,PT,2021-01-15 13:44:20
199,Poprad,49.0614,20.298,19.99,79,75,11.5,SK,2021-01-15 13:44:20
200,Flinders,-34.5833,150.8552,64.99,81,0,1.99,AU,2021-01-15 13:44:20
201,Klaksvik,62.2266,-6.589,41.0,93,75,14.97,FO,2021-01-15 13:44:20
202,Imbituba,-28.24,-48.6703,78.8,73,20,6.91,BR,2021-01-15 13:44:20
203,Luganville,-15.5333,167.1667,79.9,83,100,4.25,VU,2021-01-15 13:44:20
204,Sitka,57.0531,-135.33,44.6,81,90,24.16,US,2021-01-15 13:44:20
205,La Plaine,15.3333,-61.25,78.8,89,40,3.44,DM,2021-01-15 13:44:21
206,Presidencia Roque Saenz Pena,-26.7852,-60.4388,91.99,58,0,5.99,AR,2021-01-15 13:44:21
207,Asfi,32.2994,-9.2372,59.83,62,1,14.47,MA,2021-01-15 13:44:21
208,Chuy,-33.6971,-53.4616,77.85,60,37,13.24,UY,2021-01-15 13:44:21
209,Puerto Del Rosario,28.5004,-13.8627,66.2,55,75,19.57,ES,2021-01-15 13:44:21
210,Martapura,-3.4167,114.85,73.4,100,75,2.3,ID,2021-01-15 13:44:21
211,Tura,25.5198,90.2201,58.59,62,12,2.39,IN,2021-01-15 13:44:21
212,Evensk,61.95,159.2333,-20.96,81,94,3.76,RU,2021-01-15 13:44:21
213,Monte Alegre,-2.0078,-54.0692,85.12,61,3,6.73,BR,2021-01-15 13:44:21
214,Nehe,48.4833,124.8333,-7.69,84,0,0.63,CN,2021-01-15 13:44:21
215,Meihekou,42.5272,125.6753,-3.21,91,29,5.73,CN,2021-01-15 13:44:21
216,Guerrero Negro,27.9769,-114.0611,56.14,43,0,1.57,MX,2021-01-15 13:44:21
217,Juneau,58.3019,-134.4197,41.0,81,90,21.85,US,2021-01-15 13:44:21
218,Nanortalik,60.1432,-45.2371,26.85,92,87,6.35,GL,2021-01-15 13:44:22
219,Panyutyne,48.9333,36.2833,23.58,98,100,7.25,UA,2021-01-15 13:44:22
220,Encruzilhada Do Sul,-30.5439,-52.5219,80.74,55,0,7.78,BR,2021-01-15 13:44:22
221,Mets Masrik,40.2183,45.7681,27.68,88,10,12.03,AM,2021-01-15 13:44:22
222,Pochinki,54.6988,44.8668,10.96,96,100,3.91,RU,2021-01-15 13:44:22
223,Hambantota,6.1241,81.1185,75.2,100,75,2.3,LK,2021-01-15 13:44:22
224,Liverpool,53.4106,-2.9779,34.0,93,90,10.36,GB,2021-01-15 13:44:22
225,Puerto Carreno,6.189,-67.4859,82.78,61,9,11.36,CO,2021-01-15 13:44:22
226,Fairbanks,64.8378,-147.7164,21.2,73,90,6.91,US,2021-01-15 13:44:22
227,Yarovoye,52.9273,78.58,-13.07,88,0,9.17,RU,2021-01-15 13:44:22
228,Krasnokholm,51.5979,54.1567,20.68,96,97,11.03,RU,2021-01-15 13:44:22
229,Chornukhy,50.2673,32.942,16.41,92,100,11.39,UA,2021-01-15 13:44:22
230,Ratnagiri,16.9833,73.3,78.44,70,0,12.37,IN,2021-01-15 13:44:23
231,Ostrovnoy,68.0531,39.5131,20.41,96,100,5.32,RU,2021-01-15 13:44:23
232,Aljezur,37.3191,-8.8033,57.99,22,0,1.99,PT,2021-01-15 13:44:23
233,San Patricio,28.017,-97.5169,42.8,61,1,4.61,US,2021-01-15 13:44:23
234,Dashitou,43.3067,128.5114,0.27,90,100,9.17,CN,2021-01-15 13:44:23
235,Zhezkazgan,47.8043,67.7144,7.21,90,100,14.29,KZ,2021-01-15 13:44:23
236,Lorengau,-2.0226,147.2712,82.44,74,100,8.12,PG,2021-01-15 13:44:23
