City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
60,Araguaina,-7.1911,-48.2072,79.63,83,85,5.1,BR,2021-01-16 19:47:48,light rain
61,Doha,25.2867,51.5333,66.2,68,0,3.44,QA,2021-01-16 19:46:49,clear sky
62,Ambilobe,-13.2,49.05,75.51,92,90,3.04,MG,2021-01-16 19:49:42,overcast clouds
63,Lavumisa,-27.31,31.892,75.2,94,100,3.44,SZ,2021-01-16 19:49:42,light rain
64,Calabar,4.9517,8.322,79.74,78,79,3.98,NG,2021-01-16 19:49:42,broken clouds
65,Santa Maria Da Vitoria,-13.3947,-44.1886,83.71,61,99,3.22,BR,2021-01-16 19:49:42,light rain
66,Mayumba,-3.432,10.6554,78.62,81,100,5.7,GA,2021-01-16 19:49:42,overcast clouds
67,Sokolo,14.7328,-6.1219,74.07,18,100,13.18,ML,2021-01-16 19:49:42,overcast clouds
68,Umm Lajj,25.0213,37.2685,69.3,52,0,8.48,SA,2021-01-16 19:47:17,clear sky
69,Herat,34.5,62.0,43.54,51,0,4.68,AF,2021-01-16 19:49:42,clear sky
70,Oriximina,-1.7656,-55.8661,90.21,45,53,5.88,BR,2021-01-16 19:49:43,broken clouds
71,Kelo,9.3086,15.8066,77.58,18,28,4.41,TD,2021-01-16 19:49:43,scattered clouds
72,Ilorin,8.5,4.55,84.2,28,0,5.75,NG,2021-01-16 19:49:43,clear sky
73,Lethem,3.3803,-59.7968,85.64,59,29,9.48,GY,2021-01-16 19:49:43,scattered clouds
74,Codrington,-38.2667,141.9667,55.31,70,97,9.26,AU,2021-01-16 19:49:43,overcast clouds
75,Samfya,-11.3649,29.5565,66.85,90,97,4.79,ZM,2021-01-16 19:49:43,light rain
76,Awbari,26.5921,12.7805,49.01,44,0,6.04,LY,2021-01-16 19:49:43,clear sky
77,Kismayo,-0.3582,42.5454,77.61,82,0,13.98,SO,2021-01-16 19:49:43,clear sky
78,Bandarbeyla,9.4942,50.8122,74.89,76,0,16.98,SO,2021-01-16 19:49:43,clear sky
79,Tambura,5.6,27.4667,75.06,24,67,3.29,SS,2021-01-16 19:49:43,broken clouds
