City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
430,Ghanzi,BW,76.84,light rain,-21.5667,21.7833,Ghanzi Farmhouse
431,Mindelo,CV,71.6,broken clouds,16.8901,-24.9804,Hotel Gaudi
432,Kindu,CD,71.31,light rain,-2.95,25.95,Résidence Okanda
433,Bonthe,SL,79.23,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
434,Sabha,LY,50.0,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
435,Modakeke,NG,77.95,clear sky,7.3833,4.2667,Harvard Continental Hotel
437,Luxor,EG,59.0,clear sky,25.6989,32.6421,Iberotel Luxor
440,Bardiyah,LY,59.79,few clouds,31.7561,25.0865,بورتو بردية
441,Louis Trichardt,ZA,72.63,moderate rain,-23.0439,29.9032,139 on Munnik Guest House
442,San Ignacio,BZ,73.4,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
443,Maine-Soroa,NE,70.16,few clouds,13.2114,12.0241,
445,Odweyne,SO,64.44,clear sky,9.4092,45.06399999999999,Eng Hiirey House
446,Mbekenyera,TZ,72.37,scattered clouds,-10.0,38.9833,
448,Bhag,PK,58.41,clear sky,29.0415,67.8239,Bukhari hotl
449,Keti Bandar,PK,63.27,clear sky,24.1447,67.4497,Haji laloo memon house
450,Presidente Medici,BR,76.8,light rain,-11.1753,-61.9014,Oliveira Palace Hotel
